arc_length;U_1;U_1;U_1
0.1623;0.428717;1.04729;2.63771
0.1626;0.429371;1.04877;2.64086
0.1629;0.430025;1.05026;2.64401
0.1632;0.430665;1.05173;2.64713
0.1635;0.431298;1.0532;2.65023
0.1638;0.43193;1.05467;2.65334
0.1641;0.432556;1.05613;2.65643
0.1644;0.433167;1.05758;2.65948
0.1647;0.433778;1.05903;2.66254
0.165;0.434388;1.06048;2.6656
0.1653;0.434978;1.06191;2.66861
0.1656;0.435568;1.06334;2.67162
0.1659;0.436157;1.06478;2.67464
0.1662;0.436733;1.0662;2.67762
0.1665;0.437301;1.06762;2.68059
0.1668;0.43787;1.06903;2.68356
0.1671;0.438431;1.07045;2.68652
0.1674;0.438978;1.07185;2.68945
0.1677;0.439525;1.07325;2.69238
0.168;0.440072;1.07465;2.6953
0.1683;0.440597;1.07604;2.6982
0.1686;0.441123;1.07743;2.70109
0.1689;0.441648;1.07882;2.70398
0.1692;0.44216;1.0802;2.70684
0.1695;0.442664;1.08157;2.7097
0.1698;0.443168;1.08294;2.71255
0.1701;0.443665;1.08431;2.71539
0.1704;0.444148;1.08567;2.71821
0.1707;0.444631;1.08703;2.72103
0.171;0.445114;1.08839;2.72384
0.1713;0.445575;1.08974;2.72663
0.1716;0.446036;1.09108;2.72941
0.1719;0.446497;1.09243;2.73219
0.1722;0.446944;1.09376;2.73495
0.1725;0.447384;1.0951;2.73769
0.1728;0.447823;1.09643;2.74044
0.1731;0.448256;1.09776;2.74318
0.1734;0.448673;1.09908;2.74589
0.1737;0.449091;1.1004;2.74861
0.174;0.449509;1.10172;2.75132
0.1743;0.449905;1.10303;2.754
0.1746;0.4503;1.10433;2.75668
0.1749;0.450696;1.10564;2.75936
0.1752;0.451077;1.10694;2.76202
0.1755;0.451451;1.10824;2.76468
0.1758;0.451824;1.10953;2.76733
0.1761;0.452191;1.11082;2.76997
0.1764;0.452542;1.11211;2.77259
0.1767;0.452893;1.11339;2.77521
0.177;0.453244;1.11467;2.77783
0.1773;0.453573;1.11595;2.78041
0.1776;0.453901;1.11722;2.783
0.1779;0.45423;1.1185;2.78559
0.1782;0.454543;1.11976;2.78816
0.1785;0.454849;1.12102;2.79073
0.1788;0.455154;1.12228;2.79329
0.1791;0.455452;1.12354;2.79584
0.1794;0.455735;1.12479;2.79837
0.1797;0.456017;1.12604;2.8009
0.18;0.4563;1.12729;2.80344
0.1803;0.456559;1.12853;2.80594
0.1806;0.456818;1.12976;2.80844
0.1809;0.457077;1.131;2.81095
0.1812;0.457321;1.13223;2.81343
0.1815;0.457556;1.13346;2.81591
0.1818;0.457791;1.13469;2.81839
0.1821;0.458018;1.13591;2.82085
0.1824;0.458229;1.13713;2.82331
0.1827;0.458441;1.13834;2.82576
0.183;0.458652;1.13956;2.82821
0.1833;0.458839;1.14077;2.83063
0.1836;0.459025;1.14197;2.83306
0.1839;0.459212;1.14318;2.83548
0.1842;0.459383;1.14438;2.83789
0.1845;0.459545;1.14557;2.84028
